id,Original Text,Original_Aspect,Predicted_Aspect,Original_sentiment,Predicted_Sentiment,Original_reason,Predicted_Reason,Aspect_Categorization,Sentiment_Categorization,Correctness_of_Response
224,"These are a bit overpriced for what you get. The technology isn't anything new, and you can get basically the same shoe for $40 less from a competitor.",price/value,price/value,Negative,Negative,uncompetitive pricing for older technology,overpriced compared to competitors with similar technology,1,1,2
225,"The heel cup is very shallow, so my foot feels like it’s going to pop out with every step. I’ve tried different lacing techniques, but nothing helps.",comfort,comfort,Negative,Negative,shallow heel cup leads to heel slippage,shallow heel cup causing foot instability,1,1,3
226,"I found the sizing to be spot on. I'm a 10 in every other brand, and the 10 in these Nimas fits me like a glove.",sizing,sizing,Positive,Positive,consistent sizing with other major brands,true to size fit,1,1,4
227,The rubber on the side of the shoe is already cracking. It looks like the material is too brittle and can't handle the constant flexing of walking.,durability,durability,Negative,Negative,brittle material cracking at flex points,rubber cracking due to brittle material,1,1,2
228,"The design is very sleek and doesn't look like a typical ""running shoe,"" which I appreciate for my commute to work. It blends in well with my attire.",design,design,Positive,Positive,"sleek, non-traditional athletic silhouette",sleek design for commuting,1,1,2
229,"The ""Rose Gold"" accents are a bit more of a ""Copper"" or ""Bronze"" in person. It’s still pretty, but not exactly the pinkish-gold I was looking for.",color,color,Neutral,Neutral,slight color variation in metallic accents,color not matching description,1,1,2
230,"These are an amazing value for under $100. They have more cushioning than some of the ""max cushion"" shoes I've paid $160 for in the past.",price/value,price/value,Positive,Positive,high value for cushioning at a low price,more cushioning than expensive shoes,1,1,3
231,The fabric is very rough and caused a lot of friction on the top of my foot. I have to wear very thick socks just to keep it from rubbing my skin raw.,comfort,comfort,Negative,Negative,abrasive fabric causing skin friction,rough fabric causing friction,1,1,3
232,"I ordered my usual size and it fits okay, but it’s a bit tight with thicker athletic socks. I'd recommend going up a half size if you don't like a tight fit.",sizing,sizing,Neutral,Neutral,sizing is tight when wearing thick socks,fits tight with thicker athletic socks,1,1,5
233,One of the lace loops pulled right out of the fabric the second time I tied them. It wasn't even stitched in properly. Very poor quality control.,durability,durability,Negative,Negative,detached lace loop due to poor stitching,poor quality control causing lace loop to detach,1,1,3
234,The design is a bit too loud for my taste. There are too many different patterns and colors going on at once; it’s a bit of an eyesore.,design,design,Negative,Negative,overly busy and clashing design patterns,too many patterns and colors,1,1,4
235,The color is very vibrant and has stayed that way even after being out in the sun for several hours a day during my marathon training.,color,color,Positive,Positive,UV-resistant and vibrant color quality,color vibrancy retained after sun exposure,1,1,4
236,"I feel like I'm paying a premium for a brand that isn't really ""premium"" yet. The quality feels more like a mid-range shoe from a decade ago.",price/value,price/value,Negative,Negative,brand premium not backed by modern quality,"quality feels mid-range, not premium",1,1,3
237,"The foam is very responsive and gives me a nice little ""pop"" with every step. It’s perfect for speed work or shorter, faster runs.",comfort,comfort,Positive,Positive,"responsive foam ""pop"" for speed workouts",responsive foam with a nice pop on every step,1,1,3
238,The sizing is very inconsistent. I tried on three pairs of the same size in the store and they all felt slightly different. I don't trust ordering these online.,sizing,sizing,Negative,Negative,high manufacturing variance within the same size,inconsistent sizing among same size pairs,1,1,5
239,"The mesh started tearing where it meets the sole after just 100 miles. For a $150 shoe, I expected to get at least 300-400 miles out of them.",durability,durability,Negative,Negative,premature mesh tearing at high-stress points,mesh tearing after 100 miles,1,1,3
240,I love the minimalist design; it’s very easy to keep clean and doesn't have a bunch of unnecessary plastic pieces that could break off.,design,design,Positive,Positive,durable and easy-to-clean minimalist design,minimalist design easy to keep clean,1,1,3
241,"The color is a bit more muted than I expected, but I actually prefer it. It looks more like a natural, earthy tone than a bright synthetic one.",color,color,Positive,Positive,"preferred muted, natural color tones","color is a natural, earthy tone",1,1,3
243,"The arch support is a bit too aggressive for my flat feet. It feels like there’s a golf ball inside my shoe, which becomes very painful after a while.",comfort,comfort,Negative,Negative,overly aggressive arch support for flat feet,aggressive arch support causing pain for flat feet,1,1,4
244,The size 12 fits exactly like every other Nima shoe I've bought in the last five years. I'm glad they haven't changed their sizing standard.,sizing,sizing,Positive,Positive,consistent sizing across the Nima brand line,consistent sizing standard,1,1,2
245,The sole is incredibly tough. I’ve been wearing these for six months on gravel trails and the lugs still look almost brand new.,durability,durability,Positive,Positive,extreme outsole durability on rough terrain,durable sole with lugs still intact after six months,1,1,3
246,"The design is very ""clunky"" and makes me feel like I’m wearing bricks on my feet. It’s not a very flattering or athletic look.",design,design,Negative,Negative,clunky and heavy aesthetic lacks athleticism,clunky design feels heavy and unflattering,1,1,3
